Date,Asset,Signal,Expected_Return_Pct,Expected_Return,Confidence,Reasoning,Self_Consistency_Spread,Mean_Stated_Confidence
2025-01-02,EURUSD,NEUTRAL,1.95,0.0195,0.4908776755788468,"Analogues show modest 1-1.6% gains, tempering the model's higher 2.8% forecast.",0.0022730302828309,0.5466666666666667
2025-01-02,GBPUSD,NEUTRAL,1.33,0.0133,0.4641612510530508,"Historical windows gave 0.6-1.5% rises, suggesting a slightly lower return than the model's 1.9%.",0.0012569805089976,0.4933333333333333
2025-01-02,GOLD,NEUTRAL,1.69,0.0169,0.3844846548416434,"All analog episodes saw gold up 2-3%, outweighing the model's slight negative outlook.",0.0061822326064294,0.5033333333333333
2025-01-02,OIL,BEARISH,-2.51,-0.0250666666666666,0.3271505958723278,"Analogues consistently showed oil declines of 2.8-6%, contradicting the model's positive forecast.",0.010770742262671,0.5033333333333333
2025-01-31,EURUSD,NEUTRAL,0.04,0.0004,0.2333333333333333,"The model predicts a near‑flat move and weak analogs show slight depreciation after rate‑hold events, so we stay near zero with modest confidence.",0.0,0.2333333333333333
2025-01-31,GBPUSD,NEUTRAL,0.57,0.0057,0.1733333333333333,"Model suggests a small upside; analogs are mixed but generally neutral after holds, leading to low confidence in the modest gain.",0.0,0.1733333333333333
2025-01-31,GOLD,NEUTRAL,1.63,0.0163,0.2433333333333333,"Model forecasts modest gold strength and analogs show mixed outcomes, so a small positive return is reasonable with limited confidence.",0.0,0.2433333333333333
2025-01-31,OIL,BULLISH,11.19,0.1119,0.3,"Model predicts a strong oil rally; despite weak analog support, a rate‑hold often sustains oil momentum, giving moderate confidence in the upside.",0.0,0.3
2025-02-28,EURUSD,NEUTRAL,-0.75,-0.0075,0.5882318492853081,Both the low‑confidence model and tariff‑shock analogs point to a modest EURUSD decline.,0.0010801234497346,0.62
2025-02-28,GBPUSD,NEUTRAL,-1.0,-0.01,0.55,"Analog episodes show GBPUSD weakening after tariffs, aligning with the model’s down forecast.",0.0,0.55
